id,name,country,price,count
0,GANkBGjJcXz,Colombia,7737.03,616
1,tyZ,Niue,2937.57,60
2,TMSl,Gambia,2136.5,930
3,xxdVPp,Gibraltar,8685.17,248
4," kXDS",Hong Kong,6467.48,618
5,RoPzxCp,Togo,7991.95,87
6,mNxACBKwQDAP,Reunion,5599.77,957
7,oOaRKebLK,Tokelau,6671.65,194
8,tYhztN,Cook Islands,1911.5,962
9,FqXLTNLydFB,Uganda,5658.03,67
10,OzjDTfCwVfe,Egypt,3564.51,201
11," yO",Costa Rica,1658.19,467
12,GPqvYySWSQI,Tokelau,6746.64,249
13,kPFGH,Jersey,6676.64,276
14,Y lfRQbo,Western Sahara,2371.48,888
15,endU,Maldives,2764.52,741
16,aUbpY,Serbia and Montenegro,4597.48,882
17,GoDHvKENyPsa,Vanuatu,9847.88,630
18,lLZxxxodZasp,Canada,1830.25,20
19,dmbhWouto,France,6191.95,690
20,FlDjsTLqiTH,Zambia,4361.31,1084
21,WrWnPKrwMffC,Turkey,6873.94,1005
22,oYC,France,2509.41,68
23,YSDnlByRGg,Falkland Islands (Malvinas),4909.19,994
24,vOMtkToG,United Kingdom,1395.43,970
25,pBpluIis,Saint Kitts and Nevis,4090.3,290
26,vdbJZyqk,Mayotte,8864.15,713
27,alFSO,New Zealand,520.25,663
28,ihLS,"Virgin Islands, British",383.99,154
29,"sODY ",Norfolk Island,9826.73,358
30,faTA,Georgia,361.97,522
31,wTQpcr,Bouvet Island,6420.52,59
32,oHPtB,Singapore,7893.15,145
33,BPnFGfIMr,Greece,6244.59,554
34,cFeQK,Guatemala,8382.07,845
35,uwBKyBaTBcHi,Guatemala,6474.43,372
36,lgSumrNx,Cayman Islands,3154.7,749
37,EQuRS,Central African Republic,3970.97,830
38,eMP,Libyan Arab Jamahiriya,368.97,585
39,ysxuBszzHtNb,Isle of Man,7825.06,678
40,RXZ,Bosnia and Herzegovina,6275.88,230
41,uMSYc,RWANDA,7223.34,30
42,qKuCyqZTRZoE,Seychelles,8969.04,681
43,UPEZeySAjM,Turkey,666.94,43
44,FPGy aMo,United States Minor Outlying Islands,2211,115
45,hvlSInNnH,Haiti,7547.13,456
46,Nj nXquM,Antigua and Barbuda,8230.7,716
47,WljgQQadIubY,Saint Helena,2347.58,323
48,GstfassZ,Japan,9344.61,383
49,oRvFJtVWL,French Guiana,7204.91,251
50,ewYAg,Jordan,8401.41,913
51,xUiyuHXnlt,Mali,9948.33,329
52,ZAfPxuUFR,United Arab Emirates,3976.82,297
53,P uyUe,Burkina Faso,2793.8,951
54,TZO,United Arab Emirates,5304.28,1035
55,bXNrSzdcLP,Marshall Islands,8575.38,320
56,FsbrBkHkh,Czech Republic,6020.4,1036
57,Hsu,Viet Nam,3765.11,914
58,gmh,Saint Vincent and the Grenadines,414.46,476
59,quMtwzMH,Jamaica,7663,1012
60,CBhLMOWJyiAQ,Sao Tome and Principe,7207.84,168
61,DSGCRACQwKy,Venezuela,6777.79,276
62,eoxKews,Tunisia,6487.09,1094
63,dTKAIrNnQTR,Mayotte,9518.44,990
64,uVIn,Turks and Caicos Islands,1960.02,474
65,ysFns,Spain,4804.93,1089
66,WTEycAOQLPDA,New Zealand,3493.19,434
67,JqcMxRE,Bulgaria,3482.17,128
68,xnamvDG,Hungary,8768.84,564
69,DEnRkkM,Guyana,4166.32,282
70,kWn Tlvj,Ireland,3810.9,336
71," TgzrOkc",Bahamas,740.06,265
72,qgtNIor ILcn,Portugal,6725.24,154
73,NyYaUFOyOtV,Dominica,7251.8,1092
74,"OkE ",Singapore,3642.69,690
75,euhBIv,Cuba,1403.57,925
76,rkyZnW,Kenya,6747.41,533
77,upG IeOwyqdl,Greece,8519.66,1073
78,Q N oHXv,Uganda,8229.34,124
79,twlfFYFOKGPc,San Marino,1072.1,36
80,lDHVceUBfto,Comoros,8357.88,235
81,Lc ZYtk,Benin,4942.02,818
82,qpfAXtEOQevB,RWANDA,4901.43,63
83," oZmDgMoq",Viet Nam,2007.56,723
84,apXmEJTvY,Myanmar,2290.15,480
85,eCGGo,Morocco,8293.47,845
86,yICwlO,Mauritania,6736.53,771
87,KVODNbknNW,United States,4945.25,793
88,kbrtcTrO,Azerbaijan,9254.75,25
89,REactOuCgc,Croatia,8966.92,468
90,MpFiizLn,Faroe Islands,5846.97,482
91,EXLnj,United States Minor Outlying Islands,2114.28,122
92,iRDBiuZKz,Grenada,1720.86,1068
93,BEliVhBeiBo,New Caledonia,9994.48,637
94,FmGVlA,Comoros,9707.16,787
95,JtATZy,Morocco,8043.28,675
96,ugNfmluTwVD,Spain,3860.94,120
97,ZTBiffcb,Gambia,1393.02,448
98,DzmJFyR,Saudi Arabia,1954.33,406
